Month,South,West,Midwest,Northeast,South Atlantic,Mountain,East North Central,New England,East South Central,Pacific,West North Central,Middle Atlantic,West South Central
2-Jun,0.80%,1.40%,0.90%,1.30%,,,,,,,,,
2-Jul,1.20%,1.50%,1.60%,1.80%,,,,,,,,,
2-Aug,1.30%,1.90%,1.60%,2.30%,,,,,,,,,
2-Sep,1.20%,1.80%,0.90%,2.40%,,,,,,,,,
2-Oct,1.90%,1.80%,2.10%,2.60%,,,,,,,,,
2-Nov,2.30%,1.90%,2.10%,2.80%,,,,,,,,,
2-Dec,2.50%,2.10%,2.10%,2.90%,,,,,,,,,
3-Jan,2.60%,2.30%,2.40%,3.00%,,,,,,,,,
3-Feb,3.20%,2.70%,3.10%,3.00%,,,,,,,,,
3-Mar,3.10%,2.90%,2.90%,3.20%,,,,,,,,,
3-Apr,2.50%,2.00%,1.80%,2.60%,,,,,,,,,
3-May,2.10%,2.00%,1.70%,2.70%,,,,,,,,,
3-Jun,2.10%,2.00%,1.80%,2.70%,,,,,,,,,
3-Jul,2.10%,2.00%,1.60%,2.80%,,,,,,,,,
3-Aug,2.40%,2.10%,1.70%,2.60%,,,,,,,,,
3-Sep,2.40%,2.10%,1.90%,2.90%,,,,,,,,,
3-Oct,1.80%,1.90%,1.60%,2.90%,,,,,,,,,
3-Nov,1.50%,1.50%,1.60%,2.60%,,,,,,,,,
3-Dec,1.70%,1.50%,1.70%,2.80%,,,,,,,,,
4-Jan,1.80%,1.50%,1.80%,2.80%,,,,,,,,,
4-Feb,1.50%,1.40%,1.30%,2.70%,,,,,,,,,
4-Mar,1.50%,1.50%,1.30%,2.90%,,,,,,,,,
4-Apr,2.00%,1.90%,2.10%,3.50%,,,,,,,,,
4-May,2.90%,2.60%,2.90%,3.70%,,,,,,,,,
4-Jun,3.20%,2.80%,2.70%,4.30%,,,,,,,,,
4-Jul,3.00%,2.40%,2.90%,3.90%,,,,,,,,,
4-Aug,2.60%,2.00%,2.50%,3.40%,,,,,,,,,
4-Sep,2.50%,2.20%,2.30%,3.20%,,,,,,,,,
4-Oct,3.10%,3.00%,3.00%,3.60%,,,,,,,,,
4-Nov,3.50%,3.50%,3.30%,3.80%,,,,,,,,,
4-Dec,3.30%,3.10%,3.00%,3.60%,,,,,,,,,
5-Jan,3.00%,2.70%,2.60%,3.40%,,,,,,,,,
5-Feb,3.10%,2.60%,2.80%,3.50%,,,,,,,,,
5-Mar,3.20%,2.50%,2.90%,3.70%,,,,,,,,,
5-Apr,3.50%,3.30%,3.40%,3.80%,,,,,,,,,
5-May,2.90%,2.80%,2.50%,3.20%,,,,,,,,,
5-Jun,2.70%,2.40%,2.50%,2.50%,,,,,,,,,
5-Jul,3.20%,3.00%,2.80%,3.40%,,,,,,,,,
5-Aug,3.70%,3.40%,3.50%,3.80%,,,,,,,,,
5-Sep,5.00%,4.10%,4.80%,4.80%,,,,,,,,,
5-Oct,4.80%,3.90%,4.10%,4.40%,,,,,,,,,
5-Nov,3.80%,3.20%,3.00%,3.70%,,,,,,,,,
5-Dec,3.70%,3.00%,3.20%,3.50%,,,,,,,,,
6-Jan,4.30%,3.70%,3.60%,4.10%,,,,,,,,,
6-Feb,3.80%,3.60%,3.00%,3.90%,,,,,,,,,
6-Mar,3.70%,3.40%,3.10%,3.30%,,,,,,,,,
6-Apr,4.00%,3.40%,2.80%,3.80%,,,,,,,,,
6-May,4.40%,4.10%,3.30%,4.60%,,,,,,,,,
6-Jun,4.50%,4.20%,3.40%,5.10%,,,,,,,,,
6-Jul,4.50%,4.10%,3.30%,4.60%,,,,,,,,,
6-Aug,4.10%,4.00%,2.80%,4.50%,,,,,,,,,
6-Sep,2.00%,3.00%,0.60%,2.60%,,,,,,,,,
6-Oct,1.10%,2.20%,0.10%,1.70%,,,,,,,,,
6-Nov,1.90%,2.40%,1.30%,2.30%,,,,,,,,,
6-Dec,2.50%,3.10%,1.70%,3.00%,,,,,,,,,
7-Jan,1.80%,3.00%,1.20%,2.30%,,,,,,,,,
7-Feb,2.20%,3.10%,2.00%,2.40%,,,,,,,,,
7-Mar,2.60%,3.40%,2.30%,2.60%,,,,,,,,,
7-Apr,2.50%,3.30%,2.30%,2.20%,,,,,,,,,
7-May,2.70%,3.00%,2.90%,2.30%,,,,,,,,,
7-Jun,2.70%,3.00%,2.70%,2.30%,,,,,,,,,
7-Jul,2.30%,2.80%,2.30%,2.00%,,,,,,,,,
7-Aug,2.00%,2.40%,1.80%,1.60%,,,,,,,,,
7-Sep,3.00%,2.50%,3.10%,2.40%,,,,,,,,,
7-Oct,3.80%,3.30%,3.70%,3.10%,,,,,,,,,
7-Nov,4.70%,4.20%,4.10%,4.00%,,,,,,,,,
7-Dec,4.40%,4.10%,3.80%,3.80%,,,,,,,,,
8-Jan,4.90%,3.80%,4.30%,3.90%,,,,,,,,,
8-Feb,4.60%,3.50%,3.80%,4.00%,,,,,,,,,
8-Mar,4.40%,3.70%,3.70%,3.90%,,,,,,,,,
8-Apr,4.20%,3.50%,4.00%,3.90%,,,,,,,,,
8-May,4.60%,3.70%,4.00%,4.30%,,,,,,,,,
8-Jun,5.30%,4.90%,4.90%,5.00%,,,,,,,,,
8-Jul,5.80%,5.30%,5.60%,5.70%,,,,,,,,,
8-Aug,5.60%,4.90%,5.40%,5.50%,,,,,,,,,
8-Sep,5.40%,4.30%,4.80%,5.20%,,,,,,,,,
8-Oct,3.90%,3.30%,3.30%,4.00%,,,,,,,,,
8-Nov,1.00%,1.00%,0.50%,1.70%,,,,,,,,,
8-Dec,0.00%,0.00%,-0.30%,0.70%,,,,,,,,,
9-Jan,-0.10%,0.10%,-0.30%,0.50%,,,,,,,,,
9-Feb,0.10%,0.30%,-0.20%,0.70%,,,,,,,,,
9-Mar,-0.30%,-0.50%,-0.80%,0.20%,,,,,,,,,
9-Apr,-0.70%,-0.70%,-1.50%,-0.10%,,,,,,,,,
9-May,-1.30%,-1.10%,-1.90%,-0.80%,,,,,,,,,
9-Jun,-1.40%,-1.40%,-1.70%,-1.20%,,,,,,,,,
9-Jul,-2.10%,-2.00%,-2.50%,-1.90%,,,,,,,,,
9-Aug,-1.60%,-1.30%,-1.80%,-1.20%,,,,,,,,,
9-Sep,-1.80%,-0.80%,-1.70%,-0.70%,,,,,,,,,
